,candidato,text
42,Bolsonaro,"RT @allantercalivre: Cronologicamente
1. Gleisi pede ajuda ao mundo árabe: todos riram.
2. Operador do Hezbollah é preso em Foz do Iguaçu:…"
43,Bolsonaro,"RT @scamarsn: Com 55% da população se declarando parda ou negra, como foi possível q Bolsonaro, ""racista"", se tornasse fenômeno eleitoral?…"
44,Bolsonaro,RT @zehdeabreu: Bolsonaro ama Ulstra. Ulstra enfiava ratos vivos nas vaginas de mulheres torturadas e levava os filhos delas para vê-las ca…
45,Bolsonaro,"portal R7 passará a se chamar portal B17...  ""Portal R7 a Bolsonaro"""
46,Bolsonaro,"Gostei de um vídeo @YouTube https://t.co/dbYXjNaXmqÉFERA, BOLSONARO E MÍDIA"
47,Bolsonaro,"Morte, ameaças e intimidação: o discurso de Bolsonaro inflama radicais https://t.co/GgVdQG1m6m"
48,Bolsonaro,RT @zehdeabreu: Bolsonaro ama Ulstra. Ulstra enfiava ratos vivos nas vaginas de mulheres torturadas e levava os filhos delas para vê-las ca…
49,Bolsonaro,RT @pandlernews: José de Abreu massacra Regina Duarte após a atriz declarar apoio a Bolsonaro e espalhar fakes news sobre o governo do PT h…
50,Bolsonaro,RT @ehomath: Uma dica para quando verem acusações claramente mentirosas de agressão de eleitores do Bolsonaro contra opositores: cobrem inv…
51,Bolsonaro,"RT @Ro_Moller: José de Abreu ataca Regina Duarte sobre post pró-Bolsonaro, e o que o babaca vai fazer?? Cuspir nela?? 

*Alguém pode repass…"
52,Bolsonaro,"RT @Itspedrito: Eu admiro muito a prepotência do eleitor de bolsonaro que acha que todos os jornais gringos renomados, os estudiosos respei…"
53,Bolsonaro,"Bolsonaro apoiou grupo de extermínio que cobrava R$ 50 para matar jovens da periferia. ""Enquanto o Estado não tiver… https://t.co/Swj4rX8Q9b"
54,Bolsonaro,"RT @Smith_Hays: Minas Gerais costuma indicar o próximo presidente. Seguindo a tradição, a Paraná Pesquisas mostra: Bolsonaro tem 70% dos vo…"
55,Bolsonaro,RT @RicaPerrone: Ontem eu ouvi de uma médica especialista no caso do Bolsonaro sobre a condição dele. É inacreditável que algum candidato d…
56,Bolsonaro,"RT @franciscomacsoa: Que gracinha!😃😊😊😊😊

O vídeo mais bonitinho e mítico infantil que verás hoje 😎👏👏👏👏👏👏👏👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷

Bol…"
57,Bolsonaro,"RT @Marieany40: Muito ORGULHO dos NORDESTINOS!!!
Os Nordestinos fazendo campanha de GRAÇA para MITO.
É Bolsonaro em 2018. https://t.co/qUQN…"
58,Bolsonaro,"RT @IsadeLisboa: Eu votei Bolsonaro no primeiro turno. Mas depois dessa xenofobia para com o meu Nordeste, no segundo turno votarei em Bols…"
59,Bolsonaro,RT @kairofacao: O mlk espancou a criança e á mulher comenta nessa publicação do Facebook pra votar no Bolsonaro que vai acabar com isso. Ca…
60,Bolsonaro,RT @BR17MG2018: Haddad pede que militantes mintam sobre Bolsonaro e coordene ataques usando o nome de @jairbolsonaro 😱😡. Alguém tem q fazer…
61,Bolsonaro,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
62,Bolsonaro,"RT @roxmo: Debata conosco, os brasileiros que Bolsonaro representa. Vc está fugindo de todas as acusações que lhe são feitas aqui, @Haddad_…"
63,Bolsonaro,"RT @jairbolsonaro: BOLSONARO: ""..._VOTO NO AÉCIO MESMO QUE ELE Ñ QUEIRA..."". Leia entrevista completa e entenda. http://t.co/S18V1MSB17"
64,Bolsonaro,"RT @Desesquerdizada: 1° turno, Bolsonaro recebe 46% de votos
0 espancados
0 mortos
1 esfaqueado (Bolsonaro)

2° turno, Haddad precisa obter…"
65,Bolsonaro,"RT @MVeraneio: Eu se sou o Bolsonaro NAO apareço no debate
o Homem teve seus órgãos retirados TODOS 2 vezes a um mes e pouco 
e querem um d…"
66,Bolsonaro,"RT @GuilhermeBoulos: Temos 15 dias para dialogar com as pessoas e desmistificar Bolsonaro. Ele diz que é ""de fora"" do sistema. Será? 27 ano…"
67,Bolsonaro,"José de Abreu, o cuspidor de mulheres, não está preocupado com ditadura, está preocupado com o corte violento da ve… https://t.co/rufc6bQYeq"
68,Bolsonaro,"RT @GuilhermeBoulos: Temos 15 dias para dialogar com as pessoas e desmistificar Bolsonaro. Ele diz que é ""de fora"" do sistema. Será? 27 ano…"
69,Bolsonaro,"RT @tomfm_: Helena Rizzo, dona de dois dos restaurantes mais caros de São Paulo, postou uma foto ofendendo os 50 milhões de brasileiros que…"
70,Bolsonaro,"RT @CarlaZambelli17: O PT está utilizando em sua propaganda contra Bolsonaro os casos dos quilombolas e da Preta Gil, que chegaram ao STF e…"
71,Bolsonaro,RT @luciano_hang: Imagina se o Bolsonaro tivesse falado estas barbaridades? Onde estava a imprensa qdo o Lula falou tudo isto? Imperdível.…
72,Bolsonaro,"RT @Haddad_Fernando: Jair Bolsonaro não tem qualificação para ser deputado, quanto mais presidente. São 513 deputados e ele, sem sombra de…"
73,Bolsonaro,RT @RitaLisauskas: Tem gente que vê uma vergonha lá do outro lado da via Dutra e corre para passar https://t.co/1uF3SwN8Ip
74,Bolsonaro,"RT @FlaRobSal: A poesia nos salva.
Acordei e escutei esse poema do Arnaldo Antunes, um desabafo contra esse estado de coisas que aí está. E…"
75,Bolsonaro,"RT @GuilhermeBoulos: Temos 15 dias para dialogar com as pessoas e desmistificar Bolsonaro. Ele diz que é ""de fora"" do sistema. Será? 27 ano…"
76,Bolsonaro,RT @luciano_hang: Só vota no PT quem faz parte do grupo. Os outros 99% podem votar no Bolsonaro. https://t.co/JYeTDj53vV
77,Bolsonaro,RT @Haddad_Fernando: Vou contar para vocês a verdade sobre o deputado Jair Bolsonaro. https://t.co/HKmvXHpjf8
78,Bolsonaro,"RT @cirogomes: Bolsonaro é a promessa certa de uma crise. 

#DemocraciaSim https://t.co/OOEdGn3yZx"
79,Bolsonaro,RT @DeputadoFederal: Milícias de Bolsonaro ameaçaram de morte o candidato ao governo de Sergipe do próprio PSL após ele declarar apoio a @H…
80,Bolsonaro,RT @anacronices: Pra Bolsonaro é humanamente impossível falar de gays sem ser homofóbico https://t.co/kfGjEWGvK6
81,Bolsonaro,RT @WinstonLing: O dedo de Soros nas agressões praticadas por supostos eleitores de Bolsonaro https://t.co/pARXIJ5hRk
82,Bolsonaro,"RT @GuilhermeBoulos: Temos 15 dias para dialogar com as pessoas e desmistificar Bolsonaro. Ele diz que é ""de fora"" do sistema. Será? 27 ano…"
83,Bolsonaro,"RT @coimbraricardo: ""Ain, mas o PT apoia a ditadura na Venezuela"" Sabe quem mais apoia ditadura? O Bolsonaro. Só que aqui no Brasil mesmo.…"
84,Bolsonaro,"RT @GuilhermeBoulos: Temos 15 dias para dialogar com as pessoas e desmistificar Bolsonaro. Ele diz que é ""de fora"" do sistema. Será? 27 ano…"
85,Bolsonaro,RT @PastorLiomar: Associação de Judeus sai em Defesa de Jair Bolsonaro – Jornal Hora Extra https://t.co/zjGqOm3d2v
86,Bolsonaro,#maravilha já era hora de mudar porque tem fraude e o TSE não faz nada
87,Bolsonaro,RT @UOLNoticias: Bolsonaro apoiou grupo de extermínio que cobrava R$ 50 para matar jovens da periferia  https://t.co/dENCh2E6Jc
88,Bolsonaro,gente eu não sabia que o bolsonaro era casado com a halsey https://t.co/MVXLwzXsRr
89,Bolsonaro,"RT @cirogomes: Bolsonaro é a promessa certa de uma crise. 

#DemocraciaSim https://t.co/OOEdGn3yZx"
90,Bolsonaro,RT @musoverao: Haddad e Bolsonaro tuitando um sobre o outro parece aquele casal que terminou e ainda n superou o término
91,Bolsonaro,"RT @blxckgirls: Você sabia que a gente pode solicitar a presença do  Bolsonaro aos debates, formalmente?

É por aqui. Você completa os dado…"
92,Bolsonaro,"RT @folha: Fundação citada em texto fake sequer existe #Eleições2018 
https://t.co/ShNIcwmhZw"
93,Bolsonaro,RT @thatianap: O cara só não recebe o Haddad https://t.co/eSbN3gFaD6
94,Bolsonaro,RT @gleisi: O deputado Bolsonaro é obcecado pelos gays. Obsessão é o comportamento de importunar ou perseguir alguém de forma insistente. É…
95,Bolsonaro,"Gostei de um vídeo @YouTube https://t.co/8jNkZAAMmvÉFERA, BOLSONARO E MÍDIA"
96,Bolsonaro,"RT @Cassiomarques12: Regina Duarte é detonada por José de Abreu e Patrícia Pillar após apoiar Jair Bolsonaro: https://t.co/5VFqYD0Pgx

 #Sa…"
97,Bolsonaro,"RT @eaiyago: Vocês tão aí falando que o Haddad não é católico e quem é católico é o Bolsonaro, mas enquanto o Haddad recebia a santa eucari…"
98,Bolsonaro,"RT @coimbraricardo: Então, assim, esse papinho de defensor da liberdade vinda de apoiador de Bolsonaro, pode poupar o papai aqui, ok?"
99,Bolsonaro,"RT @JoelAlexandreM: Bolsonaro no Jornal Hoje, Saúde, Violência e Educação. 13/10/2018 https://t.co/5tNMPR4G8R"
100,Bolsonaro,Aquele toco gostoso que todo mundo toma um dia
101,Bolsonaro,"RT @FlavioDino: Fui deputado federal e posso afirmar que Bolsonaro era um parlamentar medíocre, fraco, omisso. Fui Relator de leis importan…"
102,Bolsonaro,"Exorcismo nunca é fácil e bonito. O demônio vai vociferar, vomitar, espernear, girar a cabeça e fazer muito barulho… https://t.co/vjELiUteu9"
103,Bolsonaro,@elizeuscastro @partidonovo30 O NOVO mineiro está em peso com Jair Bolsonaro
104,Bolsonaro,RT @zehdeabreu: Bolsonaro ama Ulstra. Ulstra enfiava ratos vivos nas vaginas de mulheres torturadas e levava os filhos delas para vê-las ca…
105,Bolsonaro,RT @Haddad_Fernando: Sobre o deputado Jair Bolsonaro: quem não tem proposta não tem o que debater. Eu lamento. Porque se alguém quer presid…
106,Bolsonaro,"RT @rvianna: A suástica, de novo.
Agora na testa do escritor Simões Lopes Neto , em Pelotas- RS.
Mas isso não tem nada a ver com a escalada…"
107,Bolsonaro,@jornalnacional @UOLNoticias  coloquem no ar kkkkkkk
108,Bolsonaro,"RT @peterjordan100: Enxurrada de notícias de mulheres apanhando por eleitores do Bolsonaro. Eu me pergunto, como sabem que eles são eleitor…"
109,Bolsonaro,"RT @tthiagosouza: No Uber:
- eae cara, vai de bolsonaro?
- não 

(silêncio de meio minuto)

- quer que eu bote alguma música?
- sim, Rihann…"
110,Bolsonaro,"RT @_MLacerda_: Dada as ultimas notícias, acho prudente bloquearmos perfis de desconhecidos do oriente que começaram a nos seguir a partir…"
111,Bolsonaro,RT @cdproduart: Argemiro Sampaio é o primeiro prefeito cearense a apoiar publicamente Bolsonaro no segundo turno https://t.co/VgE4m2cyju
112,Bolsonaro,"RT @abcredblack: ""vocês esquecem que foi o bolsonaro que levou uma facada""

ninguém esqueceu não. mas quando isso aconteceu, todos os outro…"
113,Bolsonaro,"RT @Savagefiction: Bolsonaro que garantir a excludente de ilicitude e acabar com as audiências de custódia, que servem para garantir que pr…"
114,Bolsonaro,I liked a @YouTube video https://t.co/MGWbDmeOX6 BOLSONARO OU HADDAD? EM QUEM EU VOU VOTAR? - ASK da INTERNET
115,Bolsonaro,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
116,Bolsonaro,"RT @JulioFidalgo2: Só um jornal italiano pra ser tão sincero e direto: “O Brasil Vota Na Direita Porque a Esquerda é Ridícula”.

Depois con…"
117,Bolsonaro,"RT @RacioppiGgm: @Haddad_Fernando O VÍDEO FOI EDITADO. PROCESSO ARQUIVADO. E VC ENGANANDO A GALERA 
https://t.co/78cP8dZzKQ"
