,candidato,text
44,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
45,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
46,Boulos,"RT @Merciabh09: @diegoescosteguy Depois da FACADA desferida por ex-integrante do PSOL, Boulos ESQUERDISTA aliado do PT e apoiador de Haddad…"
47,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
48,Boulos,RT @esquerdanao: Boulos convoca apoiadores para invadir a casa de @jairbolsonaro https://t.co/Ec2hrFOb4X
49,Boulos,"RT @rll_22: Temos que dar MUITO valor ao Boulos, esse cara tem futuro https://t.co/O5J6UioaGJ"
50,Boulos,"RT @Mestredestra1: PT de Verde e Amarelo
Manuela cristã
Haddad não é mais LuLa
Gente o que ta acontecendo? O que falta?
Jean Willys aparece…"
51,Boulos,"RT @Fabi_Moller_: Boulos ""É lamentável que Bolsonaro siga estimulando a violência""...

Mas sou tão canalha q incentivo grupo (MTST) invadir…"
52,Boulos,@GuilhermeBoulos e @Haddad_Fernando são uma lufada de ar puro na política brasileira.
53,Boulos,Bando de massa de manobra com lavagem cerebral. E bandido e/ou invasor de propriedade privada bom e morto.
54,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
55,Boulos,RT @esquerdanao: Boulos convoca apoiadores para invadir a casa de @jairbolsonaro https://t.co/Ec2hrFOb4X
56,Boulos,"RT @benebarbosa_mvb: Após a derrota do Boulos até para o Daciolo, um amigo tenta anima-lo e pergunta:
- Vamos sair para tomar alguma coisa?…"
57,Boulos,RT @esquerdanao: Boulos convoca apoiadores para invadir a casa de @jairbolsonaro https://t.co/Ec2hrFOb4X
58,Boulos,RT @esquerdanao: Boulos convoca apoiadores para invadir a casa de @jairbolsonaro https://t.co/Ec2hrFOb4X
59,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
60,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
61,Boulos,"Polícia Federal, ministério Público...não vão se manifestar? Imprensa, Globo News, e aí?
Omproblema pra eles é que… https://t.co/yYbo1J6CGi"
62,Boulos,"RT @Fabi_Moller_: Boulos ""É lamentável que Bolsonaro siga estimulando a violência""...

Mas sou tão canalha q incentivo grupo (MTST) invadir…"
63,Boulos,"@Monique21494688 @kareenpriscilla @aianeoliver @gdwting @rodrigo_rb25 @Ramiroccastro Eu como eleitora, apesar de am… https://t.co/FYCHe3lOzk"
64,Boulos,RT @leobianchi92: O terrorista Boulos voltou! https://t.co/SLlBJI6wvQ
65,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
66,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
67,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
68,Boulos,@roxmo @Haddad_Fernando É um Boulos de fezes nada mais.
69,Boulos,RT @CorrupcaoMemes: Troque por Boulos e o meme continua https://t.co/dQ9rmWw5XF
70,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
71,Boulos,que saudade do meu ex candidato guilherme boulos
72,Boulos,"RT @leoaoliver79: Vai na linha de frente @GuilhermeBoulos , pra ser o primeiro a tomar um caroço na carcaça. #BrasilComBolsonaro17 #SomosTo…"
73,Boulos,Quando esse Boulos será tratado como um criminoso que comete atos de terror ? Ele pode tudo ? Não temos leis ? Estã… https://t.co/DSuGg531QQ
74,Boulos,"RT @benebarbosa_mvb: Após a derrota do Boulos até para o Daciolo, um amigo tenta anima-lo e pergunta:
- Vamos sair para tomar alguma coisa?…"
75,Boulos,"@esquerdanao @jairbolsonaro Vai lá Boulos dou meu maior apoio, mas vai na linha de frente, não vai colocar a jument… https://t.co/mcdyWXOloV"
76,Boulos,"RT @manuelkobel: ISSO NÃO É CRIME!
ONDE ESTÃO AS AUTORIDADES NESTE PAÍS?
PARA ALGUNS ESTÚPIDOS VALE TUDO?
BOULOS NA CADEIA! https://t.co/4C…"
77,Boulos,"RT @ajuricabat: BOULOS mandando invadir e ocupar a casa de Bolsonaro, em pleno comício de Haddad 
@MonicaWaldvogel @LeilaneNeubarth @Marcel…"
78,Boulos,"RT @fernandatanaka_: O Boulos, amigo do Haddad, incitando uma multidão a invadir a casa do Bolsonaro. Que Deus proteja o capitão."
79,Boulos,RT @leobianchi92: O terrorista Boulos voltou! https://t.co/SLlBJI6wvQ
80,Boulos,RT @CorrupcaoMemes: Troque por Boulos e o meme continua https://t.co/dQ9rmWw5XF
81,Boulos,"RT @benebarbosa_mvb: Após a derrota do Boulos até para o Daciolo, um amigo tenta anima-lo e pergunta:
- Vamos sair para tomar alguma coisa?…"
82,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
83,Boulos,RT @gaiapassarelli: Ciro foi pra Europa. Boulos foi pro vão do MASP. https://t.co/B7fxrgLoG6
84,Boulos,"RT @benebarbosa_mvb: Após a derrota do Boulos até para o Daciolo, um amigo tenta anima-lo e pergunta:
- Vamos sair para tomar alguma coisa?…"
85,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
86,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
87,Boulos,"RT @benebarbosa_mvb: Após a derrota do Boulos até para o Daciolo, um amigo tenta anima-lo e pergunta:
- Vamos sair para tomar alguma coisa?…"
88,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
89,Boulos,RT @esquerdanao: Boulos convoca apoiadores para invadir a casa de @jairbolsonaro https://t.co/Ec2hrFOb4X
90,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
91,Boulos,"RT @Fabi_Moller_: Boulos ""É lamentável que Bolsonaro siga estimulando a violência""...

Mas sou tão canalha q incentivo grupo (MTST) invadir…"
92,Boulos,RT @CorrupcaoMemes: Troque por Boulos e o meme continua https://t.co/dQ9rmWw5XF
93,Boulos,"@rafaelmartelo E em caso de vitória não se deverá nenhum favor a ele. 

Em 2022 queremos o Boulos."
94,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
95,Boulos,"RT @manuelkobel: ISSO NÃO É CRIME!
ONDE ESTÃO AS AUTORIDADES NESTE PAÍS?
PARA ALGUNS ESTÚPIDOS VALE TUDO?
BOULOS NA CADEIA! https://t.co/4C…"
96,Boulos,"RT @benebarbosa_mvb: Após a derrota do Boulos até para o Daciolo, um amigo tenta anima-lo e pergunta:
- Vamos sair para tomar alguma coisa?…"
97,Boulos,@renatogsc @jairbolsonaro @CarlosBolsonaro @BolsonaroSP @FlavioBolsonaro @Francischini_ @policiafederal Gente como… https://t.co/pn6BlKBp6O
98,Boulos,RT @leobianchi92: O terrorista Boulos voltou! https://t.co/SLlBJI6wvQ
99,Boulos,"RT @ANDERSONOSREDNA: Ciro troca tiros com polícia e morre, Jaques infarta, Boulos invade residência e dois Pitbulls o comem, o exBBB tem co…"
100,Boulos,RT @tostaofs: Para os gênios estrategistas que não votaram em Boulos para derramar votos em Ciro fica o lembrete: o destemido desenvolvimen…
101,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
102,Boulos,"RT @fernandatanaka_: O Boulos, amigo do Haddad, incitando uma multidão a invadir a casa do Bolsonaro. Que Deus proteja o capitão."
103,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
104,Boulos,RT @GabrielaNorka: BOULOS CHAMA VAGABUNDOS PARA INVADIR A CASA DE @jairbolsonaro https://t.co/oJd18whRul
105,Boulos,"RT @GFiuza_Oficial: Na campanha pacifista do PT, o companheiro Boulos conclama à invasão da casa de Bolsonaro - aquele que seu ex-colega de…"
106,Boulos,"RT @fernandatanaka_: O Boulos, amigo do Haddad, incitando uma multidão a invadir a casa do Bolsonaro. Que Deus proteja o capitão."
107,Boulos,Gostei de um vídeo @YouTube https://t.co/0WQuK3pI4U emocionada de Guilherme Boulos sobre a ditadura militar
