,candidato,text
47,Ciro,RT @Roger_Oliveira7: @degaucha_inter @ultrajano O Povo lembrará do presidiário egoísta que entregou o país a Bolsonaro por não querer larga…
48,Ciro,"@Haddad_Fernando Vc não conhece nem o seu plano de governo/do Lula/do Ciro, vai conhecer o de Bolsonaro"
49,Ciro,será se os eleitor do ciro que votam no salnorabo se tocam agora? pq bando de burro
50,Ciro,"RT @Lynhozinho: A gente é um povo tão foda mas muito desunido

Entendam que o PT não é opção, é a salvação de uma ditadura. Parem de olhar…"
51,Ciro,RT @MidiaNINJA: Vem pra Liga da Justiça Ciro! O Brasil precisa de você também! https://t.co/0yMekBZ75k
52,Ciro,"RT @Lynhozinho: A gente é um povo tão foda mas muito desunido

Entendam que o PT não é opção, é a salvação de uma ditadura. Parem de olhar…"
53,Ciro,"RT @smarieskam: o ano é 2022: 

já é outubro, eleições, Ciro Gomes vence no primeiro turno com 60% dos votos, todos felizes, aí vem novembr…"
54,Ciro,"Enquanto isso, na esquerda do Brasil:
O Ciro ficou com o PDT atrás e se mandou. 
A Marina não caiu na REDE.
O Boulo… https://t.co/sl1KgTXwe1"
55,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
56,Ciro,"RT @Ramiroccastro: O que está acontecendo com o PDT?  Os 2 candidatos a governador, no amazonas e Rio Grande do Norte declaram voto em Bols…"
57,Ciro,"RT @henriquegodoy61: @ultrajano Trajano, Lula e o PT foram egoístas e não pensaram no país. Estava na hora de apoiarem Ciro para presidente…"
58,Ciro,"RT @RicAmorim_: Noblat estava certíssimo: olha lá a matéria contra o Ciro
(Primeiro print do @AlvaroPenerotti ) https://t.co/F8twEF4qUO"
59,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
60,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
61,Ciro,"RT @Roger_Oliveira7: @ultrajano Bom é o Lula, que fez uma candidatura falsa pra enganar o povo e fez o diabo pra sabotar o Ciro. O PT merec…"
62,Ciro,"Os eleitores de Ciro tá cheio de vaidade, wtf. Eu q não me incluo nesse deboche absurdo e isentao"
63,Ciro,"RT @gerdwenzel: A omissão e/ou conivência dos partidos  de centro (conservadores, liberais, católicos) com os nazistas, foram a pá de cal n…"
64,Ciro,"Gostei de um vídeo @YouTube https://t.co/CVZTAxCZ19 video ""Ciro Escancara Atitudes Do PT, ""Vai Cair Por Não Ouvir Aliado"" ""Eu"
65,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
66,Ciro,RT @DboraFontes: Ciro seria o popular e Haddad o nerd tímido. Eles são obrigados a fazer um trabalho juntos pq o Ciro precisa de nota pra p…
67,Ciro,"RT @Ramiroccastro: O que está acontecendo com o PDT?  Os 2 candidatos a governador, no amazonas e Rio Grande do Norte declaram voto em Bols…"
68,Ciro,RT @PropostasCiro: Ciro Gomes depois das eleições: https://t.co/yA6FhmBOwz
69,Ciro,"RT @smarieskam: o ano é 2022: 

já é outubro, eleições, Ciro Gomes vence no primeiro turno com 60% dos votos, todos felizes, aí vem novembr…"
70,Ciro,"@JuniorSoares__ @Dudulbss Ele tem Ciro e Bolsonaro, por assim dizer né. Além de que tem os votos dos outros candida… https://t.co/9BmAiuY4Y1"
71,Ciro,RT @brasil247: Fernando Brito pede engajamento de Ciro na campanha de Haddad https://t.co/0JCeLUM2fj
72,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
73,Ciro,@KatiaAbreu Para com essa babaquices... Ciro tá fora.. Tu também perdesse teu emprego.. Vai trabalhar...
74,Ciro,certíssimo.
75,Ciro,"RT @mcjuju: Ciro gritou aos 4 ventos ""ele não"" e ate ""nazista filha da puta"", mas na hora do pega pra capar meteu o pé pra Zoropa e deixou…"
76,Ciro,"RT @CorrupcaoMemes: Quem é você no role?

Lula: não vai porque está preso em casa

Bolsonaro: só vai pra arrumar briga e volta quase morto…"
77,Ciro,"Agora sim mais do que nunca
#BrasilComBolsonaro17"
